CAV,r,m,v,,
1.472787071,0.717660668,-0.657142857,-0.315072859,252,7
0.90849402,0.708688426,-0.657142857,-0.226736799,253,7
1.611872464,0.668691108,-0.657142857,0.174920113,254,7
1.410573289,0.62511361,-0.657142857,-0.055581466,255,7
0.635055024,0.929388395,-0.657142857,0.590860127,256,7
0.708500144,0.844691093,-0.657142857,0.371660406,257,7
0.570147901,0.778889788,-0.657142857,0.110682522,258,7
0.614609151,0.8148224,-0.657142857,0.102718597,259,7
1.229166234,0.836513712,-0.657142857,0.226905614,260,7
1.097106905,0.789361677,-0.657142857,0.080377185,261,7
0.812182239,0.729683325,-0.657142857,-0.092718812,262,7
0.738118035,0.712464254,-0.657142857,0.010079292,263,7
1.152070849,0.739053355,-0.657142857,0.032832874,264,7
1.48469407,0.751504887,-0.657142857,0.100955605,265,7
0.92347181,0.702112338,-0.657142857,0.092996765,266,7
1.040153201,0.700928683,-0.657142857,-0.046869256,267,7
1.354740118,0.659086401,-0.657142857,0.117478829,268,7
1.138232156,0.684118774,-0.657142857,0.063160088,269,7
1.520672317,0.657864316,-0.657142857,-0.352141716,270,7
1.289399594,0.678270077,-0.657142857,-0.435344298,271,7
0.907940126,0.694513536,-0.657142857,0.316097452,272,7
0.826463778,0.73416327,-0.657142857,0.247495256,273,7
0.841959227,0.732968023,-0.657142857,-0.342470476,274,7
0.927165453,0.720177201,-0.657142857,-0.625489904,275,7
0.757589644,0.825766805,-0.657142857,0.065617987,276,7
0.512673394,0.763122107,-0.657142857,0.670870244,277,7
1.393101022,0.691520535,-0.657142857,-0.262451064,278,7
0.71039235,0.721097395,-0.657142857,0.212276275,279,7
1.012361874,0.6926841,-0.657142857,-0.304722048,280,7
0.559670068,0.826609165,-0.657142857,0.34545599,281,7
0.707060348,0.882770368,-0.657142857,-0.105241991,282,7
0.733907591,0.840270385,-0.657142857,0.178617334,283,7
1.607262312,0.88389971,-0.657142857,0.059119196,284,7
0.390889834,0.806916739,-0.657142857,0.322513471,285,7
1.633342147,0.830535698,-0.657142857,0.379741687,286,7
0.837290131,0.749257732,-0.657142857,0.051455923,287,7
1.106496619,0.716345744,-0.657142857,0.204091338,288,7
1.140397813,0.713913389,-0.657142857,0.111110093,289,7
0.761561901,0.696527835,-0.657142857,0.172814635,290,7
1.280489848,0.662043457,-0.657142857,0.145727317,291,7
1.544035862,0.830070858,-0.314285714,0.024039586,292,8
0.900490946,0.847897793,-0.314285714,0.283230671,293,8
2.257058764,0.816170376,-0.314285714,-0.082149165,294,8
1.5265188,0.698573616,-0.314285714,0.233249123,295,8
1.200885008,0.768268866,-0.314285714,0.024757839,296,8
1.720530401,0.796680669,-0.314285714,0.0379493,297,8
0.942631181,0.86923908,-0.314285714,-0.396144089,298,8
0.932928323,0.84300649,-0.314285714,-0.37610716,299,8
1.072811611,0.739375934,-0.314285714,0.030260449,300,8
0.919358531,0.780153617,-0.314285714,-0.015512702,301,8
1.190713608,0.813206348,-0.314285714,0.104353985,302,8
1.288490119,0.615457024,-0.314285714,-0.071903459,303,8
0.576132134,0.68853691,-0.314285714,0.582089937,304,8
0.722063293,0.920202609,-0.314285714,0.371660406,305,8
1.586212879,0.688969678,-0.314285714,-0.018179249,306,8
2.210334045,0.569429728,-0.314285714,0.396588657,307,8
2.816120964,0.564100667,-0.314285714,0.101868898,308,8
2.991573816,0.639582128,-0.314285714,0.226905614,309,8
2.379594366,0.694511459,-0.314285714,0.080377185,310,8
1.792688139,0.622783903,-0.314285714,0.377702251,311,8
2.553913076,0.57235317,-0.314285714,0.175132282,312,8
1.027193632,0.771976903,-0.314285714,0.5189383,313,8
1.410952569,0.78448041,-0.314285714,-0.092718812,314,8
1.482185797,0.757672509,-0.314285714,0.010079292,315,8
2.08548659,0.694126569,-0.314285714,0.032832874,316,8
4.330322798,0.636701433,-0.314285714,0.100955605,317,8
1.856362474,0.736852186,-0.314285714,0.092996765,318,8
1.479220355,0.809540351,-0.314285714,-0.046869256,319,8
1.796220451,0.797836131,-0.314285714,0.117478829,320,8
1.544180509,0.726455366,-0.314285714,0.063160088,321,8
2.107023856,0.643330596,-0.314285714,0.141198437,322,8
0.480105349,0.96766534,-0.314285714,0.065617987,323,8
1.4252948,0.854287109,-0.314285714,-0.262451064,324,8
0.535966405,0.914093971,-0.314285714,0.212276275,325,8
1.007558489,0.87969306,-0.314285714,-0.428875972,326,8
0.733154036,0.787230352,-0.314285714,0.473065614,327,8
0.650989636,0.853609346,-0.314285714,0.265224271,328,8
0.792034987,0.805236398,-0.314285714,0.050777534,329,8
1.048096326,0.749419024,-0.314285714,0.461935473,330,8
2.134162224,0.846773119,-0.314285714,0.059119196,331,8
1.458550592,0.818549364,-0.314285714,0.307286736,332,8
1.0825236,0.757978699,-0.314285714,0.28315261,333,8
3.516988449,0.716360955,-0.314285714,0.379741687,334,8
0.84045644,0.806182794,-0.542857143,0.024039586,335,9
0.962947477,0.788662711,-0.542857143,-0.082149165,336,9
0.949197311,0.661112692,-0.542857143,0.233249123,337,9
1.091042613,0.767137374,-0.542857143,0.0379493,338,9
0.569792139,0.81762734,-0.542857143,-0.37610716,339,9
0.701273306,0.707697241,-0.542857143,0.030260449,340,9
0.565968388,0.751942555,-0.542857143,-0.015512702,341,9
0.486083263,0.912698497,-0.542857143,0.371660406,342,9
0.87347561,0.701875989,-0.542857143,-0.018179249,343,9
1.203549853,0.601908921,-0.542857143,0.396588657,344,9
2.087765178,0.577134755,-0.542857143,0.101868898,345,9
1.985589256,0.632267036,-0.542857143,0.226905614,346,9
1.30216925,0.674485406,-0.542857143,0.080377185,347,9
1.229689722,0.600119578,-0.542857143,0.377702251,348,9
1.430184753,0.549724708,-0.542857143,0.175132282,349,9
0.589928135,0.752300065,-0.542857143,0.5189383,350,9
0.849412727,0.761411296,-0.542857143,-0.092718812,351,9
0.973563113,0.730049273,-0.542857143,0.010079292,352,9
1.206133331,0.662860161,-0.542857143,0.032832874,353,9
2.682904388,0.599619328,-0.542857143,0.100955605,354,9
1.008331424,0.705429601,-0.542857143,0.092996765,355,9
0.959884064,0.769661897,-0.542857143,0.117478829,356,9
0.952997495,0.691342585,-0.542857143,0.063160088,357,9
1.472981352,0.603663248,-0.542857143,0.141198437,358,9
0.693510427,0.801596145,-0.542857143,0.307286736,359,9
0.668954953,0.743440518,-0.542857143,0.28315261,360,9
1.833353029,0.707645808,-0.542857143,0.379741687,361,9
1.63216207,0.82389647,-0.2,0.024039586,362,10
0.968656953,0.84060518,-0.2,0.283230671,363,10
2.107820971,0.807925865,-0.2,-0.082149165,364,10
1.590268754,0.687124704,-0.2,0.233249123,365,10
1.370529934,0.758048413,-0.2,0.024757839,366,10
1.878695915,0.78697136,-0.2,0.0379493,367,10
1.141260415,0.834018029,-0.2,-0.37610716,368,10
1.371923616,0.726938988,-0.2,0.030260449,369,10
1.130052306,0.768459316,-0.2,-0.015512702,370,10
1.405762216,0.802704587,-0.2,0.104353985,371,10
1.173762565,0.63182487,-0.2,-0.071903459,372,10
0.660895466,0.697791199,-0.2,0.582089937,373,10
0.71730818,0.967953912,-0.2,0.336701259,374,10
0.96835685,0.918803423,-0.2,0.371660406,375,10
0.857189932,0.912857284,-0.2,0.102718597,376,10
1.832006731,0.695991596,-0.2,-0.018179249,377,10
2.236194912,0.581855827,-0.2,0.396588657,378,10
3.533133494,0.571864166,-0.2,0.101868898,379,10
3.797746057,0.641958157,-0.2,0.226905614,380,10
3.006004175,0.69262734,-0.2,0.080377185,381,10
2.327227639,0.620681153,-0.2,0.377702251,382,10
1.321538021,0.768961343,-0.2,0.5189383,383,10
1.758619664,0.751836868,-0.2,0.010079292,384,10
2.449288617,0.688140755,-0.2,0.032832874,385,10
4.34158763,0.628679787,-0.2,0.100955605,386,10
2.172160797,0.729716482,-0.2,0.092996765,387,10
1.602172944,0.804062332,-0.2,-0.046869256,388,10
1.784037786,0.790259204,-0.2,0.117478829,389,10
1.753588943,0.717049116,-0.2,0.063160088,390,10
2.339573382,0.630950282,-0.2,0.141198437,391,10
0.649615878,0.964865546,-0.2,0.065617987,392,10
1.7039994,0.84881063,-0.2,-0.262451064,393,10
0.723059304,0.793020958,-0.2,0.473065614,394,10
0.947586231,0.855994955,-0.2,0.265224271,395,10
0.92530671,0.808611907,-0.2,0.050777534,396,10
1.118191627,0.753783953,-0.2,0.461935473,397,10
1.063611183,0.826470814,-0.2,0.178617334,398,10
2.973454093,0.848393334,-0.2,0.059119196,399,10
1.713112027,0.815622236,-0.2,0.307286736,400,10
1.494322053,0.756874695,-0.2,0.28315261,401,10
4.723990156,0.717546698,-0.2,0.379741687,402,10
1.489446373,0.810956849,-0.371428571,-0.082149165,403,11
1.339587475,0.783491855,-0.371428571,0.0379493,404,11
0.965899783,0.7848016,-0.371428571,-0.396144089,405,11
1.048626413,0.755359398,-0.371428571,-0.37610716,406,11
1.422972516,0.736104015,-0.371428571,0.104353985,407,11
0.973488313,0.692835604,-0.371428571,0.138969263,408,11
2.098714374,0.720989525,-0.371428571,-0.152173471,409,11
1.566780681,0.708166201,-0.371428571,-0.201876111,410,11
1.342809235,0.650927644,-0.371428571,-0.219813961,411,11
1.572881299,0.666974009,-0.371428571,0.056352968,412,11
1.33863741,0.610399007,-0.371428571,0.327816172,413,11
1.709066004,0.664393871,-0.371428571,-0.315072859,414,11
1.790336005,0.617222267,-0.371428571,-0.226736799,415,11
1.268831229,0.626998757,-0.371428571,0.746452675,416,11
0.903955635,0.76431567,-0.371428571,-0.055581466,417,11
1.215318326,0.777744911,-0.371428571,-0.352141716,418,11
1.310723351,0.768729316,-0.371428571,-0.435344298,419,11
0.544295264,0.731038597,-0.371428571,0.624540823,420,11
1.628918492,0.717554895,-0.371428571,0.071788494,421,11
0.536119152,0.762127606,-0.371428571,0.433379714,422,11
0.78369113,0.788902428,-0.371428571,0.316097452,423,11
0.520632022,0.847240293,-0.371428571,0.247495256,424,11
1.260414864,0.818637425,-0.371428571,-0.342470476,425,11
0.740882791,0.804156833,-0.371428571,0.304716899,426,11
0.5197193,0.838782846,-0.371428571,0.454567478,427,11
1.145910013,0.835462765,-0.371428571,-0.553437866,428,11
0.552769458,0.859782684,-0.371428571,0.339330534,429,11
0.518724877,0.888358898,-0.371428571,0.212276275,430,11
0.835685145,0.842383627,-0.371428571,-0.428875972,431,11
0.589129475,0.839645363,-0.371428571,0.34545599,432,11
0.898329286,0.824965867,-0.371428571,0.179895561,433,11
1.890635545,0.833986394,-0.371428571,-0.105241991,434,11
0.306857284,0.859453586,-0.371428571,0.434924784,435,11
0.859352764,0.891665488,-0.371428571,0.051455923,436,11
0.803636831,0.844672147,-0.371428571,0.204091338,437,11
0.856946685,0.833374798,-0.371428571,0.111110093,438,11
0.725128131,0.844188367,-0.371428571,0.172814635,439,11
0.835139452,0.823083892,-0.371428571,0.145727317,440,11
1.83801302,0.754492756,-0.371428571,0.393224514,441,11
1.151434255,0.745876505,-0.371428571,0.155513189,442,11
0.529246434,0.914138843,-0.371428571,0.167269692,443,11
0.862481996,0.98111801,-0.314285714,-0.082149165,444,12
0.738225327,0.682374137,-0.314285714,-0.071903459,445,12
0.926819052,0.816989081,-0.314285714,-0.018179249,446,12
0.969603149,0.722953491,-0.314285714,0.396588657,447,12
1.207839214,0.7543668,-0.314285714,0.101868898,448,12
1.227488687,0.822857174,-0.314285714,0.226905614,449,12
1.385706469,0.876260367,-0.314285714,0.080377185,450,12
0.67864462,0.832789189,-0.314285714,0.377702251,451,12
0.861524741,0.803473341,-0.314285714,0.175132282,452,12
0.822145429,0.947567174,-0.314285714,-0.092718812,453,12
0.684752278,0.966751501,-0.314285714,0.117478829,454,12
1.695797715,0.954876391,-0.314285714,0.059119196,455,12
0.570917091,0.913492513,-0.314285714,0.28315261,456,12
1.513996416,0.874177306,-0.314285714,0.379741687,457,12
3.288655529,0.562254125,-0.314285714,0.024039586,458,13
1.693571318,0.578067322,-0.314285714,0.283230671,459,13
3.040436572,0.565676533,-0.314285714,-0.082149165,460,13
1.92491302,0.600939424,-0.314285714,0.233249123,461,13
0.854993175,0.702049097,-0.314285714,0.464357724,462,13
2.317365909,0.583361458,-0.314285714,0.024757839,463,13
3.049064068,0.587028018,-0.314285714,0.0379493,464,13
2.050758169,0.609507523,-0.314285714,-0.396144089,465,13
1.914274157,0.613318183,-0.314285714,-0.37610716,466,13
1.616855969,0.644926253,-0.314285714,0.030260449,467,13
1.646040699,0.655170295,-0.314285714,-0.015512702,468,13
2.203001415,0.63855002,-0.314285714,0.104353985,469,13
1.165491229,0.677399075,-0.314285714,0.138969263,470,13
2.815557489,0.655322032,-0.314285714,-0.152173471,471,13
2.721270404,0.694283326,-0.314285714,-0.201876111,472,13
1.527033394,0.72676997,-0.314285714,-0.219813961,473,13
1.889615268,0.713651615,-0.314285714,0.056352968,474,13
1.960664637,0.780461692,-0.314285714,-0.315072859,475,13
1.573434885,0.718755627,-0.314285714,0.174920113,476,13
2.01273714,0.605764604,-0.314285714,-0.055581466,477,13
0.882606306,0.832128383,-0.314285714,-0.071903459,478,13
0.590077433,0.865066875,-0.314285714,0.460068738,479,13
0.878022254,0.825588152,-0.314285714,0.336701259,480,13
1.409751364,0.733189147,-0.314285714,0.371660406,481,13
1.467306754,0.655927193,-0.314285714,0.110682522,482,13
1.165305514,0.705399252,-0.314285714,0.102718597,483,13
1.110560967,0.754623079,-0.314285714,-0.018179249,484,13
0.974783678,0.772390294,-0.314285714,0.396588657,485,13
