CAV,Rrup,Mw,Vs30,zh,
0.812182239,97.7297092,5.1,203.2111,262,7
0.738118035,93.3718164,5.1,238.2027,263,7
1.152070849,100.1859838,5.1,246.7284,264,7
1.48469407,103.5458366,5.1,274.122,265,7
0.92347181,90.84599221,5.1,270.7708,266,7
1.040153201,90.56157352,5.1,218.1334,267,7
1.354740118,81.05947509,5.1,281.2124,268,7
1.138232156,86.61715357,5.1,258.5682,269,7
1.520672317,80.79746954,5.1,136.088,270,7
1.289399594,85.28543993,5.1,119.6667,271,7
0.907940126,89.03550728,5.1,382.2518,272,7
0.826463778,98.89648368,5.1,343.7977,273,7
0.841959227,98.58383344,5.1,138.1374,274,7
0.927165453,95.29929089,5.1,89.19601,275,7
0.757589644,126.0584874,5.1,259.5523,276,7
0.512673394,106.7820925,5.1,661.4196,277,7
1.393101022,88.33234186,5.1,156.3224,278,7
0.71039235,95.531889,5.1,325.5844,279,7
1.012361874,88.6050436,5.1,146.4362,280,7
0.559670068,126.3401068,5.1,399.9957,281,7
0.707060348,146.6072832,5.1,199.3158,282,7
0.733907591,130.996194,5.1,309.0803,283,7
1.607262312,147.0465606,5.1,256.9584,284,7
0.390889834,119.9181191,5.1,386.0611,285,7
1.633342147,127.6611564,5.1,421.7628,286,7
0.837290131,102.9312521,5.1,253.933,287,7
1.106496619,94.33688249,5.1,321.4917,288,7
1.140397813,93.73095865,5.1,278.458,289,7
0.761561901,89.51188821,5.1,306.3208,290,7
1.280489848,81.6969652,5.1,293.7617,291,7
1.544035862,127.5040469,5.7,243.39799,292,8
0.900490946,133.6700545,5.7,363.31973,293,8
2.257058764,122.8941632,5.7,206.55794,294,8
1.5265188,89.99832364,5.7,336.31079,295,8
1.200885008,108.2479924,5.7,243.66833,296,8
1.720530401,116.7099966,5.7,248.68715,297,8
0.942631181,141.4449986,5.7,127.1408,298,8
0.932928323,131.9491535,5.7,131.13963,299,8
1.072811611,100.2716356,5.7,245.74942,300,8
0.919358531,111.7103558,5.7,228.96497,301,8
1.190713608,121.9329546,5.7,275.56555,302,8
1.288490119,72.21169418,5.7,209.85481,303,8
0.576132134,87.63690666,5.7,576.61603,304,8
0.722063293,161.8906998,5.7,416.52783,305,8
1.586212879,87.73743747,5.7,228.0233,306,8
2.210334045,63.92230688,5.7,432.8886,307,8
2.816120964,63.02622209,5.7,274.5092,308,8
2.991573816,76.97750457,5.7,333.0297,309,8
2.379594366,89.03501733,5.7,265.5409,310,8
1.792688139,73.62701924,5.7,420.4355,311,8
2.553913076,64.41928555,5.7,307.42,312,8
1.027193632,109.3165715,5.7,522.9963,313,8
1.410952569,112.9981869,5.7,203.2111,314,8
1.482185797,105.25157,5.7,238.2027,315,8
2.08548659,88.9442804,5.7,246.7284,316,8
4.330322798,76.39229296,5.7,274.122,317,8
1.856362474,99.60347461,5.7,270.7708,318,8
1.479220355,120.7544971,5.7,218.1334,319,8
1.796220451,117.0677934,5.7,281.2124,320,8
1.544180509,96.89754892,5.7,258.5682,321,8
2.107023856,77.74572128,5.7,291.7127,322,8
0.480105349,183.5813183,5.7,259.5523,323,8
1.4252948,135.9518523,5.7,156.3224,324,8
0.535966405,159.2919471,5.7,325.5844,325,8
1.007558489,145.4169584,5.7,120.869,326,8
0.733154036,113.8243882,5.7,487.2012,327,8
0.650989636,135.7079697,5.7,353.3482,328,8
0.792034987,119.3854913,5.7,253.6669,329,8
1.048096326,102.9752428,5.7,478.8921,330,8
2.134162224,133.2723855,5.7,256.9584,331,8
1.458550592,123.6711266,5.7,377.0819,332,8
1.0825236,105.336979,5.7,363.2759,333,8
3.516988449,94.34068393,5.7,421.7628,334,8
0.84045644,119.6851843,5.3,243.39799,335,9
0.962947477,114.2571207,5.3,206.55794,336,9
0.949197311,81.49576962,5.3,336.31079,337,9
1.091042613,107.9240047,5.3,248.68715,338,9
0.569792139,123.3694178,5.3,131.13963,339,9
0.701273306,92.20007783,5.3,245.74942,340,9
0.565968388,103.6659625,5.3,228.96497,341,9
0.486083263,158.7041585,5.3,416.52783,342,9
0.87347561,90.78912898,5.3,228.0233,343,9
1.203549853,69.66589782,5.3,432.8886,344,9
2.087765178,65.24048629,5.3,274.5092,345,9
1.985589256,75.50013105,5.3,333.0297,346,9
1.30216925,84.43462384,5.3,265.5409,347,9
1.229689722,69.33644529,5.3,420.4355,348,9
1.430184753,60.67105104,5.3,307.42,349,9
0.589928135,103.7641913,5.3,522.9963,350,9
0.849412727,106.2992287,5.3,203.2111,351,9
0.973563113,97.82449978,5.3,238.2027,352,9
1.206133331,81.87391437,5.3,246.7284,353,9
2.682904388,69.24461863,5.3,274.122,354,9
1.008331424,91.64786097,5.3,270.7708,355,9
0.959884064,108.6482045,5.3,281.2124,356,9
0.952997495,88.29071021,5.3,258.5682,357,9
1.472981352,69.99042294,5.3,291.7127,358,9
0.693510427,118.239718,5.3,377.0819,359,9
0.668954953,101.3571671,5.3,363.2759,360,9
1.833353029,92.1875161,5.3,421.7628,361,9
1.63216207,125.435436,5.9,243.39799,362,10
0.968656953,131.1124295,5.9,363.31973,363,10
2.107820971,120.2391294,5.9,206.55794,364,10
1.590268754,87.30965561,5.9,336.31079,365,10
1.370529934,105.3564347,5.9,243.66833,366,10
1.878695915,113.7463189,5.9,248.68715,367,10
1.141260415,128.8443114,5.9,131.13963,368,10
1.371923616,97.02177293,5.9,245.74942,369,10
1.130052306,108.3026208,5.9,228.96497,370,10
1.405762216,118.5874318,5.9,275.56555,371,10
1.173762565,75.41174433,5.9,209.85481,372,10
0.660895466,89.81197322,5.9,576.61603,373,10
0.71730818,183.7217151,5.9,394.61996,374,10
0.96835685,161.2917358,5.9,416.52783,375,10
0.857189932,158.7709318,5.9,274.86993,376,10
1.832006731,89.38481946,5.9,228.0233,377,10
2.236194912,66.06156428,5.9,432.8886,378,10
3.533133494,64.33588764,5.9,274.5092,379,10
3.797746057,77.46356595,5.9,333.0297,380,10
3.006004175,88.59172144,5.9,265.5409,381,10
2.327227639,73.2180189,5.9,420.4355,382,10
1.321538021,108.4467536,5.9,522.9963,383,10
1.758619664,103.636942,5.9,238.2027,384,10
2.449288617,87.54498183,5.9,246.7284,385,10
4.34158763,74.78603723,5.9,274.122,386,10
2.172160797,97.73829405,5.9,270.7708,387,10
1.602172944,119.0147448,5.9,218.1334,388,10
1.784037786,114.7413788,5.9,281.2124,389,10
1.753588943,94.51282832,5.9,258.5682,390,10
2.339573382,75.23722344,5.9,291.7127,391,10
0.649615878,182.2247148,5.9,259.5523,392,10
1.7039994,133.9936935,5.9,156.3224,393,10
0.723059304,115.5839424,5.9,487.2012,394,10
0.947586231,136.5683403,5.9,353.3482,395,10
0.92530671,120.4578546,5.9,253.6669,396,10
1.118191627,104.1728969,5.9,478.8921,397,10
1.063611183,126.2938099,5.9,309.0803,398,10
2.973454093,133.8456473,5.9,256.9584,399,10
1.713112027,122.7158368,5.9,377.0819,400,10
1.494322053,105.0293521,5.9,363.2759,401,10
4.723990156,94.63749484,5.9,421.7628,402,10
1.489446373,121.2084827,5.6,206.55794,403,11
1.339587475,112.70265,5.6,248.68715,404,11
0.965899783,113.094376,5.6,127.1408,405,11
1.048626413,104.6085818,5.6,131.13963,406,11
1.422972516,99.40625377,5.6,275.56555,407,11
0.973488313,88.64061316,5.6,290.70941,408,11
2.098714374,95.50459341,5.6,185.37057,409,11
1.566780681,92.31469366,5.6,171.66423,410,11
1.342809235,79.32626655,5.6,166.97049,411,11
1.572881299,82.77107552,5.6,255.86218,412,11
1.33863741,71.25054814,5.6,389.23804,413,11
1.709066004,82.20724815,5.6,144.11224,414,11
1.790336005,72.55017639,5.6,165.19353,415,11
1.268831229,74.453732,5.6,743.37653,416,11
0.903955635,107.1202652,5.6,215.21594,417,11
1.215318326,110.9997965,5.6,136.088,418,11
1.310723351,108.3801145,5.6,119.6667,419,11
0.544295264,98.08122197,5.6,615.7157,420,11
1.628918492,94.63955005,5.6,262.0394,421,11
0.536119152,106.5011357,5.6,458.2165,422,11
0.78369113,114.3297025,5.6,382.2518,423,11
0.520632022,133.4374279,5.6,343.7977,424,11
1.260414864,123.6999809,5.6,138.1374,425,11
0.740882791,119.0445438,5.6,375.5872,426,11
0.5197193,130.4809895,5.6,473.4697,427,11
1.145910013,129.3383866,5.6,99.70285,428,11
0.552769458,137.9456059,5.6,396.2268,429,11
0.518724877,148.7939365,5.6,325.5844,430,11
0.835685145,131.7316086,5.6,120.869,431,11
0.589129475,130.7794723,5.6,399.9957,432,11
0.898329286,125.7912985,5.6,309.6915,433,11
1.890635545,128.8335137,5.6,199.3158,434,11
0.306857284,137.8253928,5.6,459.312,435,11
0.859352764,150.1030492,5.6,253.933,436,11
0.803636831,132.5326774,5.6,321.4917,437,11
0.856946685,128.6249448,5.6,278.458,438,11
0.725128131,132.3629309,5.6,306.3208,439,11
0.835139452,125.1657079,5.6,293.7617,440,11
1.83801302,104.3686893,5.6,430.6437,441,11
1.151434255,102.0133721,5.6,298.2384,442,11
0.529246434,159.3108839,5.6,303.7069,443,11
0.862481996,190.2418158,5.7,206.55794,444,12
0.738225327,86.21774828,5.7,209.85481,445,12
0.926819052,123.1609949,5.7,228.0233,446,12
0.969603149,96.00278494,5.7,432.8886,447,12
1.207839214,104.3338696,5.7,274.5092,448,12
1.227488687,125.0905544,5.7,333.0297,449,12
1.385706469,144.1005677,5.7,265.5409,450,12
0.67864462,128.4255545,5.7,420.4355,451,12
0.861524741,118.8291872,5.7,307.42,452,12
0.822145429,174.0625106,5.7,203.2111,453,12
0.684752278,183.1374229,5.7,281.2124,454,12
1.695797715,177.4657739,5.7,256.9584,455,12
0.570917091,159.0383403,5.7,363.2759,456,12
1.513996416,143.307559,5.7,421.7628,457,12
3.288655529,62.71866435,5.7,243.39799,458,13
1.693571318,65.40186333,5.7,363.31973,459,13
3.040436572,63.28988888,5.7,206.55794,460,13
1.92491302,69.48720097,5.7,336.31079,461,13
0.854993175,90.8307737,5.7,480.68826,462,13
2.317365909,66.32558736,5.7,243.66833,463,13
3.049064068,66.9729666,5.7,248.68715,464,13
2.050758169,71.08247547,5.7,127.1408,465,13
1.914274157,71.80369051,5.7,131.13963,466,13
1.616855969,78.07505962,5.7,245.74942,467,13
1.646040699,80.2228798,5.7,228.96497,468,13
2.203001415,76.7673188,5.7,275.56555,469,13
1.165491229,85.08887728,5.7,290.70941,470,13
2.815557489,80.25513394,5.7,185.37057,471,13
2.721270404,88.98122432,5.7,171.66423,472,13
1.527033394,96.97834058,5.7,166.97049,473,13
1.889615268,93.66598055,5.7,255.86218,474,13
1.960664637,111.8015642,5.7,144.11224,475,13
1.573434885,94.94107089,5.7,307.31921,476,13
2.01273714,70.38113392,5.7,215.21594,477,13
0.882606306,128.200932,5.7,209.85481,478,13
0.590077433,139.8902389,5.7,477.51245,479,13
0.878022254,125.9988404,5.7,394.61996,480,13
1.409751364,98.64159984,5.7,416.52783,481,13
1.467306754,80.38389961,5.7,278.27405,482,13
1.165305514,91.64049293,5.7,274.86993,483,13
1.110560967,104.4047284,5.7,228.0233,484,13
0.974783678,109.4363538,5.7,432.8886,485,13
1.457253008,98.92680132,5.7,274.5092,486,13
3.53107268,86.55063915,5.7,333.0297,487,13
2.626957757,73.87834297,5.7,265.5409,488,13
1.735867413,78.18165674,5.7,420.4355,489,13
1.562462156,82.87818958,5.7,307.42,490,13
1.562483184,69.05335286,5.7,522.9963,491,13
1.448215753,71.21081539,5.7,272.6518,492,13
2.883578025,64.17112162,5.7,203.2111,493,13
2.551465343,61.61151186,5.7,238.2027,494,13
4.896780313,65.67307907,5.7,246.7284,495,13
3.109439606,61.24129911,5.7,270.7708,496,13
2.452355726,62.43162347,5.7,218.1334,497,13
3.27456125,60.56484445,5.7,281.2124,498,13
3.218508203,63.12191233,5.7,258.5682,499,13
1.823737001,75.54818795,5.7,291.7127,500,13
1.885996625,83.30700196,5.7,136.088,501,13
1.760780015,91.65577674,5.7,119.6667,502,13
1.111282156,113.9978342,5.7,262.0394,503,13
0.983336491,94.31021137,5.7,382.2518,504,13
0.681517131,98.33355717,5.7,343.7977,505,13
1.214997797,103.4057114,5.7,138.1374,506,13
1.541565845,125.6246459,5.7,99.70285,507,13
2.74697764,69.04349209,5.7,89.19601,508,13
0.987328738,103.7631164,5.7,259.5523,509,13
0.499772891,92.50426494,5.7,242.8009,510,13
0.503725924,105.273369,5.7,821.5139,511,13
4.012863803,66.35312029,5.7,156.3224,512,13
0.916331952,79.37918689,5.7,325.5844,513,13
1.006659635,82.37106083,5.7,298.5533,514,13
0.512321031,137.6950978,5.7,399.9957,515,13
0.810923885,163.4491939,5.7,199.3158,516,13
0.887789265,109.8783842,5.7,353.3482,517,13
0.658504737,118.937164,5.7,432.5877,518,13
1.048284924,105.3805187,5.7,253.6669,519,13
0.840142215,100.9166428,5.7,478.8921,520,13
0.751578395,86.9678489,5.7,629.692,521,13
1.578072136,88.85003279,5.7,309.0803,522,13
2.81777466,102.6775906,5.7,256.9584,523,13
0.743811836,105.8809981,5.7,523.1513,524,13
0.637012083,83.24343405,5.7,386.0611,525,13
2.030791117,71.62084941,5.7,377.0819,526,13
1.624192386,76.21579493,5.7,363.2759,527,13
4.176795047,83.77422381,5.7,421.7628,528,13
1.171927395,91.66680151,5.7,321.4917,529,13
1.196938265,93.30989617,5.7,278.458,530,13
1.161386845,83.52503316,5.7,306.3208,531,13
1.464074964,74.7905842,5.7,293.7617,532,13
0.837948074,152.2159342,5.7,430.6437,533,13
0.842928001,149.8533023,5.3,243.39799,534,14
0.938726737,140.8257934,5.3,206.55794,535,14
0.797595124,103.6816504,5.3,336.31079,536,14
0.648697741,92.28390436,5.3,480.68826,537,14
0.852618023,131.3484327,5.3,248.68715,538,14
0.855643676,109.059405,5.3,245.74942,539,14
0.850377843,90.31762983,5.3,274.5092,540,14
1.062351658,105.0193754,5.3,333.0297,541,14
1.051762203,115.7452629,5.3,265.5409,542,14
0.834824544,98.40086473,5.3,420.4355,543,14
0.95016598,87.33578417,5.3,307.42,544,14
0.954630912,138.1454166,5.3,203.2111,545,14
0.755763426,128.4145876,5.3,238.2027,546,14
1.371861405,111.5266987,5.3,246.7284,547,14
0.908004795,120.808043,5.3,270.7708,548,14
0.805237669,114.2797605,5.3,258.5682,549,14
1.114205472,90.4709931,5.3,291.7127,550,14
0.954709329,166.3109086,5.3,256.9584,551,14
1.262861163,123.8695096,5.3,421.7628,552,14
0.921071549,134.7916276,5.7,243.39799,553,15
1.122770301,126.2003811,5.7,206.55794,554,15
0.903397074,117.2824099,5.7,248.68715,555,15
0.969950946,107.5581579,5.7,228.0233,556,15
0.899459533,82.60528936,5.7,432.8886,557,15
1.246297356,80.08948848,5.7,274.5092,558,15
1.422626614,93.26787126,5.7,333.0297,559,15
1.340254911,102.8487458,5.7,265.5409,560,15
1.030753185,86.48372416,5.7,420.4355,561,15
